'_id.distrito',_id.concelho,_id.partido,votos_distrito_partido_concelho
Aveiro,Albergaria-a-Velha,PPDPSD,4845.0
Aveiro,Albergaria-a-Velha,PS,4041.0
Aveiro,Albergaria-a-Velha,CDSPP,2219.0
Aveiro,Albergaria-a-Velha,PCPPEV,305.0
Aveiro,Albergaria-a-Velha,BE,86.0
Aveiro,Albergaria-a-Velha,PCTPMRPP,38.0
Aveiro,Albergaria-a-Velha,PPM,35.0
Aveiro,Albergaria-a-Velha,PSN,35.0
Aveiro,Albergaria-a-Velha,PH,25.0
Aveiro,Albergaria-a-Velha,MPT,15.0
Aveiro,Anadia,PPDPSD,7549.0
Aveiro,Anadia,PS,5673.0
Aveiro,Anadia,CDSPP,2270.0
Aveiro,Anadia,PCPPEV,371.0
Aveiro,Anadia,BE,193.0
Aveiro,Anadia,PCTPMRPP,57.0
Aveiro,Anadia,PPM,55.0
Aveiro,Anadia,PH,51.0
Aveiro,Anadia,MPT,36.0
Aveiro,Anadia,PSN,28.0
Aveiro,Arouca,PPDPSD,6033.0
Aveiro,Arouca,PS,3815.0
Aveiro,Arouca,CDSPP,2227.0
Aveiro,Arouca,PCPPEV,207.0
Aveiro,Arouca,BE,94.0
Aveiro,Arouca,PPM,85.0
Aveiro,Arouca,PH,50.0
Aveiro,Arouca,PSN,43.0
Aveiro,Arouca,PCTPMRPP,35.0
Aveiro,Arouca,MPT,20.0
Aveiro,Aveiro,PS,13692.0
Aveiro,Aveiro,PPDPSD,13046.0
Aveiro,Aveiro,CDSPP,6583.0
Aveiro,Aveiro,PCPPEV,1391.0
Aveiro,Aveiro,BE,1001.0
Aveiro,Aveiro,PCTPMRPP,149.0
Aveiro,Aveiro,PPM,109.0
Aveiro,Aveiro,PH,99.0
Aveiro,Aveiro,MPT,98.0
Aveiro,Aveiro,PSN,55.0
Aveiro,Castelo de Paiva,PS,4344.0
Aveiro,Castelo de Paiva,PPDPSD,3663.0
Aveiro,Castelo de Paiva,CDSPP,426.0
Aveiro,Castelo de Paiva,PCPPEV,156.0
Aveiro,Castelo de Paiva,BE,89.0
Aveiro,Castelo de Paiva,PCTPMRPP,28.0
Aveiro,Castelo de Paiva,PH,27.0
Aveiro,Castelo de Paiva,PPM,19.0
